shape_id,shape_pt_sequence,shape_pt_lat,shape_pt_lon,shape_dist_traveled
1-SHUTTLE-A-NB,13366,47.523540,-122.278930,10163.74
1-SHUTTLE-A-NB,13367,47.523720,-122.278890,10183.98
1-SHUTTLE-A-NB,13368,47.523830,-122.278880,10196.23
1-SHUTTLE-A-NB,13369,47.524160,-122.278800,10233.42
1-SHUTTLE-A-NB,13370,47.524270,-122.278770,10245.85
1-SHUTTLE-A-NB,13371,47.524650,-122.278710,10288.35
1-SHUTTLE-A-NB,13372,47.524930,-122.278710,10319.48
1-SHUTTLE-A-NB,13373,47.525230,-122.278730,10352.87
1-SHUTTLE-A-NB,13374,47.525400,-122.278760,10371.91
1-SHUTTLE-A-NB,13375,47.525570,-122.278800,10391.05
1-SHUTTLE-A-NB,13376,47.525600,-122.278810,10394.47
1-SHUTTLE-A-NB,13377,47.525730,-122.278860,10409.4
1-SHUTTLE-A-NB,13378,47.525990,-122.278990,10439.92
1-SHUTTLE-A-NB,13379,47.526120,-122.279060,10455.3
1-SHUTTLE-A-NB,13380,47.526240,-122.279130,10469.64
1-SHUTTLE-A-NB,13381,47.527780,-122.279920,10650.86
1-SHUTTLE-A-NB,13382,47.527880,-122.279980,10662.86
1-SHUTTLE-A-NB,13383,47.528100,-122.280090,10688.68
1-SHUTTLE-A-NB,13384,47.528380,-122.280230,10721.54
1-SHUTTLE-A-NB,13385,47.528610,-122.280330,10748.2
1-SHUTTLE-A-NB,13386,47.528740,-122.280380,10763.13
1-SHUTTLE-A-NB,13387,47.528960,-122.280440,10788.0
1-SHUTTLE-A-NB,13388,47.529210,-122.280490,10816.06
1-SHUTTLE-A-NB,13389,47.529570,-122.280540,10856.26
1-SHUTTLE-A-NB,13390,47.529830,-122.280560,10885.21
1-SHUTTLE-A-NB,13391,47.529960,-122.280560,10899.67
1-SHUTTLE-A-NB,13392,47.530840,-122.280570,10997.52
